method,is_critic,num_runs,avg_utility,avg_em,avg_f1_proxy,avg_process_score,avg_tokens,avg_retrieval_calls,avg_latency_ms,workflow_counts
fixed_W1,no,90,0.2091,0.1111,0.1707,0.094,41.12,0.0,1041.01,{'W1': 90}
fixed_W1_critic,yes,90,0.2092,0.1111,0.1707,0.094,41.12,0.0,985.15,{'W1': 90}
fixed_W2,no,90,0.394,0.2111,0.3013,0.2691,243.12,1.0,2842.26,{'W2': 90}
fixed_W2_critic,yes,90,0.3689,0.2111,0.3013,0.2688,727.83,1.0,7948.31,{'W2': 90}
fixed_W3,no,90,0.4187,0.2,0.31,0.2879,121.84,1.0,1150.26,{'W3': 90}
fixed_W3_critic,yes,90,0.4239,0.2111,0.3137,0.2908,121.84,1.0,1082.15,{'W3': 90}
fixed_W6,no,90,0.3697,0.2,0.2889,0.2557,300.46,1.0,4423.18,{'W6': 90}
fixed_W6_critic,yes,90,0.3547,0.2,0.2889,0.2557,727.17,1.0,6565.76,{'W6': 90}
rule_based,no,90,0.3742,0.2,0.3106,0.2561,240.99,1.14,9881.74,"{'W3': 34, 'W4': 3, 'W2': 20, 'W6': 31, 'W5': 2}"
rule_based_critic,yes,90,0.3601,0.2,0.3078,0.2557,499.1,1.14,11860.48,"{'W3': 34, 'W4': 3, 'W2': 20, 'W6': 31, 'W5': 2}"
learned_router,no,90,0.405,0.2111,0.3065,0.2799,218.42,0.99,2759.71,"{'W2': 33, 'W3': 29, 'W6': 27, 'W1': 1}"
learned_router_critic,yes,90,0.3915,0.2111,0.3065,0.2799,522.04,0.99,5221.17,"{'W2': 33, 'W3': 29, 'W6': 27, 'W1': 1}"
DELTA (critic - base),delta,0,0.0001,0.0,0.0,0.0,0.0,0.0,-55.86,
TOKEN MULTIPLIER,ratio,0,0.0,0.0,0.0,0.0,1.0,0.0,0.9463,
