category,metric,value
RL Gate,offline_rl_ready,False
RL Gate,online_rl_ready,False
RL Gate,deployment_mode,offline_reward_model_only
RL Gate,recommended_next_stage,continue_offline_improvements
Online Blocker,blocker_1,High bandit regret (0.0419) exceeds threshold (0.04) or best_rate (0.7928) below threshold (0.7).
Bandit Gate,avg_regret,0.0419
Bandit Gate,exact_best_rate,0.7928
Bandit Gate,meets_online_threshold,False
Critic Gate,token_multiplier,1.0
Critic Gate,utility_gap,0.0
Critic Gate,meets_online_threshold,True
Promotion,promoted,True
Promotion,high_utility_delta,-0.2022
Promotion,low_utility_delta,-0.1096
Promotion,medium_utility_delta,-0.1452
