name,type,cv_avg_regret,cv_std_regret,cv_avg_best_rate,cv_std_best_rate
ens_ra10.0_n150_d4_lr005_b0.4,ensemble,0.012,0.0112,0.8381,0.0333
ens_ra5.0_n200_d3_lr01_b0.5,ensemble,0.0116,0.0102,0.8357,0.0371
ens_ra10.0_n150_d4_lr005_b0.5,ensemble,0.0121,0.0112,0.8357,0.0424
ens_ra10.0_n100_d3_lr005_b0.4,ensemble,0.0095,0.0109,0.8333,0.0304
ridge_a5.0,ridge,0.0126,0.0168,0.8357,0.0472
ridge_a10.0,ridge,0.0138,0.0159,0.8357,0.039
ens_ra1.0_n150_d4_lr005_b0.7,ensemble,0.0144,0.0107,0.8333,0.0252
ridge_a0.5,ridge,0.0127,0.0169,0.8333,0.0454
ens_ra1.0_n150_d4_lr005_b0.5,ensemble,0.0121,0.0113,0.8309,0.038
ridge_a1.0,ridge,0.0122,0.0172,0.8309,0.0424
ens_ra1.0_n200_d3_lr01_b0.4,ensemble,0.0123,0.0095,0.8285,0.0391
ens_ra5.0_n150_d4_lr005_b0.4,ensemble,0.0122,0.011,0.8286,0.0409
ens_ra5.0_n150_d4_lr005_b0.5,ensemble,0.0125,0.0108,0.8286,0.0418
ens_ra1.0_n150_d4_lr005_b0.6,ensemble,0.0123,0.0117,0.8286,0.04
ens_ra5.0_n100_d3_lr005_b0.6,ensemble,0.0137,0.0104,0.8286,0.0382
ens_ra5.0_n100_d3_lr005_b0.4,ensemble,0.0093,0.0111,0.8262,0.0409
ens_ra5.0_n150_d4_lr005_b0.6,ensemble,0.0129,0.0112,0.8262,0.0287
ens_ra5.0_n100_d3_lr005_b0.5,ensemble,0.0136,0.0108,0.8262,0.0434
ens_ra1.0_n100_d3_lr005_b0.4,ensemble,0.0124,0.0173,0.8262,0.0466
ens_ra1.0_n100_d3_lr005_b0.5,ensemble,0.0119,0.0102,0.8238,0.0407
gbt_n200_d2_lr001,gbt,0.0142,0.0077,0.8238,0.0371
ens_ra5.0_n200_d3_lr01_b0.4,ensemble,0.0123,0.011,0.8238,0.0416
ens_ra10.0_n150_d4_lr005_b0.6,ensemble,0.0129,0.0113,0.8238,0.0341
ens_ra10.0_n100_d3_lr005_b0.5,ensemble,0.0137,0.0104,0.8238,0.0361
ens_ra5.0_n150_d4_lr005_b0.7,ensemble,0.0154,0.0116,0.8238,0.038
ens_ra10.0_n200_d3_lr01_b0.5,ensemble,0.0129,0.0096,0.8214,0.0357
ens_ra1.0_n150_d4_lr005_b0.4,ensemble,0.0125,0.011,0.8214,0.0404
gbt_n50_d2_lr005,gbt,0.0174,0.0109,0.8238,0.0494
ens_ra5.0_n200_d3_lr01_b0.6,ensemble,0.0133,0.0099,0.8214,0.0395
ens_ra10.0_n100_d3_lr005_b0.6,ensemble,0.0141,0.0101,0.8214,0.0347
ens_ra1.0_n100_d3_lr005_b0.6,ensemble,0.0147,0.0099,0.8214,0.0421
ridge_a0.1,ridge,0.0133,0.0164,0.8214,0.0421
ens_ra10.0_n200_d3_lr01_b0.4,ensemble,0.0133,0.0108,0.819,0.0487
ens_ra1.0_n200_d3_lr01_b0.5,ensemble,0.0124,0.0097,0.8166,0.0391
gbt_n50_d2_lr003,gbt,0.0166,0.012,0.819,0.0308
ens_ra10.0_n200_d3_lr01_b0.6,ensemble,0.0136,0.0095,0.8166,0.0274
ens_ra1.0_n200_d3_lr01_b0.6,ensemble,0.0128,0.0099,0.8143,0.0274
ens_ra1.0_n100_d3_lr005_b0.7,ensemble,0.0156,0.0107,0.8143,0.0299
ens_ra10.0_n150_d4_lr005_b0.7,ensemble,0.0156,0.0115,0.8143,0.031
gbt_n100_d2_lr003,gbt,0.0173,0.01,0.8143,0.0065
gbt_n150_d2_lr001,gbt,0.0161,0.0122,0.8143,0.0382
ens_ra10.0_n200_d3_lr01_b0.7,ensemble,0.0139,0.0094,0.8119,0.0371
gbt_n150_d2_lr003,gbt,0.0144,0.0091,0.8119,0.01
ens_ra5.0_n100_d3_lr005_b0.7,ensemble,0.0148,0.0097,0.8119,0.0398
ens_ra10.0_n100_d3_lr005_b0.7,ensemble,0.015,0.0102,0.8095,0.0498
ens_ra1.0_n200_d3_lr01_b0.7,ensemble,0.0131,0.0097,0.8047,0.0353
ens_ra5.0_n200_d3_lr01_b0.7,ensemble,0.0141,0.0094,0.8047,0.0343
gbt_n200_d3_lr001,gbt,0.0178,0.0119,0.8024,0.0199
gbt_n300_d2_lr001,gbt,0.0191,0.0126,0.8024,0.0247
gbt_n200_d2_lr003,gbt,0.016,0.0106,0.7952,0.0258
gbt_n50_d3_lr003,gbt,0.0149,0.0088,0.7905,0.0666
gbt_n150_d3_lr001,gbt,0.0157,0.0075,0.7857,0.0168
gbt_n50_d4_lr005,gbt,0.0176,0.0108,0.7857,0.0188
gbt_n50_d4_lr003,gbt,0.0145,0.0093,0.7833,0.0424
gbt_n100_d2_lr001,gbt,0.0244,0.0177,0.7905,0.0556
gbt_n100_d2_lr005,gbt,0.0192,0.0146,0.7857,0.0315
gbt_n50_d3_lr005,gbt,0.0184,0.0122,0.7833,0.0196
gbt_n300_d3_lr001,gbt,0.0181,0.0151,0.7833,0.0196
gbt_n150_d2_lr005,gbt,0.0197,0.0148,0.7762,0.0213
gbt_n300_d2_lr003,gbt,0.0207,0.0158,0.7762,0.0371
gbt_n150_d4_lr001,gbt,0.0181,0.0138,0.7738,0.0453
gbt_n50_d2_lr01,gbt,0.0228,0.0167,0.7714,0.0258
gbt_n100_d3_lr003,gbt,0.0201,0.0136,0.769,0.018
gbt_n100_d2_lr01,gbt,0.0214,0.01,0.7667,0.0353
gbt_n200_d4_lr001,gbt,0.0201,0.0148,0.7667,0.018
gbt_n50_d3_lr01,gbt,0.0183,0.0114,0.7643,0.0456
gbt_n100_d3_lr001,gbt,0.0282,0.0208,0.7714,0.033
gbt_n200_d2_lr005,gbt,0.0218,0.0172,0.7595,0.038
gbt_n100_d4_lr003,gbt,0.0258,0.0218,0.7571,0.0322
gbt_n100_d4_lr001,gbt,0.0282,0.0213,0.7548,0.0458
gbt_n300_d4_lr001,gbt,0.0226,0.0156,0.7452,0.0417
gbt_n100_d3_lr005,gbt,0.0283,0.0173,0.7429,0.0247
gbt_n100_d4_lr005,gbt,0.0293,0.0159,0.7429,0.0409
gbt_n100_d3_lr01,gbt,0.0269,0.0217,0.7429,0.0391
gbt_n200_d3_lr003,gbt,0.0316,0.0259,0.7452,0.0391
gbt_n150_d4_lr003,gbt,0.0288,0.024,0.7429,0.0434
gbt_n150_d3_lr003,gbt,0.0275,0.0279,0.7429,0.0353
gbt_n150_d2_lr01,gbt,0.0289,0.0173,0.7381,0.0469
gbt_n50_d4_lr01,gbt,0.0346,0.025,0.7405,0.0244
gbt_n200_d3_lr005,gbt,0.0275,0.0161,0.7333,0.0622
gbt_n150_d4_lr005,gbt,0.0291,0.0148,0.7333,0.0434
gbt_n200_d4_lr003,gbt,0.0286,0.0238,0.7357,0.0284
gbt_n200_d2_lr01,gbt,0.0265,0.0136,0.7309,0.0661
gbt_n150_d3_lr005,gbt,0.0288,0.0184,0.7333,0.04
gbt_n50_d2_lr001,gbt,0.0376,0.0241,0.7357,0.0508
gbt_n300_d2_lr005,gbt,0.0269,0.015,0.7238,0.0501
gbt_n50_d3_lr001,gbt,0.0407,0.0216,0.7286,0.0554
gbt_n300_d3_lr003,gbt,0.032,0.0266,0.7238,0.0585
gbt_n200_d4_lr005,gbt,0.0302,0.0156,0.7191,0.0382
gbt_n50_d4_lr001,gbt,0.0438,0.0218,0.7262,0.0571
gbt_n300_d4_lr005,gbt,0.0319,0.0218,0.7191,0.0343
gbt_n300_d4_lr003,gbt,0.0288,0.0242,0.7119,0.0479
gbt_n100_d4_lr01,gbt,0.0331,0.0258,0.7143,0.0545
gbt_n300_d3_lr005,gbt,0.0325,0.0205,0.7095,0.0687
gbt_n300_d2_lr01,gbt,0.0293,0.0146,0.7048,0.0686
gbt_n300_d4_lr01,gbt,0.0363,0.0257,0.7095,0.0382
gbt_n200_d3_lr01,gbt,0.0286,0.0205,0.7,0.0615
gbt_n200_d4_lr01,gbt,0.0357,0.026,0.7048,0.038
gbt_n150_d4_lr01,gbt,0.0361,0.0268,0.7048,0.0308
gbt_n150_d3_lr01,gbt,0.0294,0.0228,0.7,0.0643
gbt_n300_d3_lr01,gbt,0.0287,0.0209,0.6857,0.0587
