method,is_critic,num_runs,avg_utility,avg_em,avg_f1_proxy,avg_process_score,avg_tokens,avg_retrieval_calls,avg_latency_ms,workflow_counts
fixed_W1,no,90,0.1268,0.0556,0.1075,0.0544,41.12,0.0,1438.53,{'W1': 90}
fixed_W1_critic,yes,90,0.1291,0.0667,0.1079,0.0582,41.12,0.0,1387.79,{'W1': 90}
fixed_W2,no,90,0.2243,0.0667,0.1577,0.217,250.46,1.0,3691.83,{'W2': 90}
fixed_W2_critic,yes,90,0.1939,0.0667,0.1577,0.217,750.37,1.0,10476.23,{'W2': 90}
fixed_W3,no,90,0.3066,0.1111,0.2141,0.255,121.84,1.0,1604.38,{'W3': 90}
fixed_W3_critic,yes,90,0.306,0.1111,0.2134,0.2546,121.84,1.0,1514.9,{'W3': 90}
fixed_W6,no,90,0.2228,0.0778,0.1718,0.2032,315.66,1.0,6363.52,{'W6': 90}
fixed_W6_critic,yes,90,0.2047,0.0778,0.1725,0.2032,752.58,1.0,9745.86,{'W6': 90}
rule_based,no,90,0.2562,0.1,0.1907,0.221,236.44,1.11,4171.28,"{'W3': 34, 'W4': 3, 'W2': 20, 'W6': 31, 'W5': 2}"
rule_based_critic,yes,90,0.2433,0.1,0.1913,0.2211,502.62,1.11,6931.79,"{'W3': 34, 'W4': 3, 'W2': 20, 'W6': 31, 'W5': 2}"
learned_router,no,90,0.29,0.1111,0.2104,0.2443,220.13,1.0,3647.42,"{'W3': 35, 'W2': 28, 'W6': 27}"
learned_router_critic,yes,90,0.2779,0.1111,0.2133,0.2445,507.29,1.0,6737.63,"{'W3': 35, 'W2': 28, 'W6': 27}"
DELTA (critic - base),delta,0,0.0023,0.0111,0.0004,0.0038,0.0,0.0,-50.74,
TOKEN MULTIPLIER,ratio,0,0.0,0.0,0.0,0.0,1.0,0.0,0.9647,
