name,type,cv_avg_regret,cv_std_regret,cv_avg_best_rate,cv_std_best_rate
gbt_n50_d2_lr001,gbt,0.0352,0.0196,0.8047,0.0382
gbt_n100_d2_lr001,gbt,0.0315,0.0164,0.7881,0.0244
ridge_a0.5,ridge,0.0278,0.0173,0.7857,0.0483
gbt_n50_d3_lr001,gbt,0.0341,0.0188,0.7881,0.0407
ens_ra10.0_n200_d3_lr01_b0.4,ensemble,0.0341,0.0204,0.7881,0.0229
ens_ra10.0_n100_d3_lr005_b0.4,ensemble,0.0259,0.021,0.7833,0.033
gbt_n50_d2_lr003,gbt,0.0341,0.022,0.7857,0.0238
ridge_a10.0,ridge,0.028,0.0248,0.7833,0.0229
ridge_a1.0,ridge,0.0308,0.0225,0.7833,0.0371
ens_ra5.0_n200_d3_lr01_b0.4,ensemble,0.0342,0.0206,0.7833,0.0155
ens_ra5.0_n100_d3_lr005_b0.4,ensemble,0.0261,0.0211,0.7786,0.0322
gbt_n50_d2_lr005,gbt,0.0303,0.016,0.7762,0.0398
ens_ra5.0_n100_d3_lr005_b0.5,ensemble,0.0289,0.0209,0.7762,0.0284
ens_ra10.0_n100_d3_lr005_b0.5,ensemble,0.0287,0.0183,0.7738,0.0279
ens_ra1.0_n200_d3_lr01_b0.4,ensemble,0.0369,0.0176,0.7762,0.0213
ridge_a5.0,ridge,0.028,0.0248,0.7738,0.0279
ens_ra5.0_n200_d3_lr01_b0.5,ensemble,0.0374,0.0175,0.7738,0.0238
gbt_n50_d4_lr001,gbt,0.0345,0.0271,0.7738,0.0564
ens_ra1.0_n100_d3_lr005_b0.4,ensemble,0.0315,0.0172,0.769,0.0287
ens_ra10.0_n200_d3_lr01_b0.5,ensemble,0.0403,0.0125,0.7714,0.033
ridge_a0.1,ridge,0.0349,0.014,0.769,0.0599
gbt_n100_d4_lr001,gbt,0.0326,0.0173,0.7667,0.0458
ens_ra1.0_n150_d4_lr005_b0.4,ensemble,0.0332,0.0203,0.7667,0.031
ens_ra1.0_n100_d3_lr005_b0.5,ensemble,0.0331,0.0136,0.7643,0.0196
ens_ra10.0_n100_d3_lr005_b0.6,ensemble,0.0332,0.0137,0.7643,0.0196
gbt_n150_d2_lr001,gbt,0.0343,0.0144,0.7643,0.0585
gbt_n100_d3_lr001,gbt,0.0354,0.0222,0.7667,0.0434
ens_ra5.0_n150_d4_lr005_b0.4,ensemble,0.032,0.0233,0.7643,0.033
ens_ra5.0_n100_d3_lr005_b0.6,ensemble,0.0332,0.0137,0.7619,0.0188
ens_ra10.0_n150_d4_lr005_b0.4,ensemble,0.0334,0.022,0.7619,0.0303
gbt_n200_d2_lr001,gbt,0.0315,0.0174,0.7595,0.044
gbt_n200_d3_lr001,gbt,0.0319,0.0159,0.7548,0.0363
gbt_n300_d2_lr001,gbt,0.0336,0.0141,0.7548,0.0417
gbt_n50_d3_lr003,gbt,0.0356,0.0224,0.7571,0.0516
ens_ra1.0_n100_d3_lr005_b0.6,ensemble,0.0364,0.0151,0.7548,0.0136
gbt_n150_d2_lr003,gbt,0.0359,0.0087,0.7524,0.0351
ens_ra1.0_n200_d3_lr01_b0.5,ensemble,0.0379,0.0173,0.7548,0.0199
ens_ra5.0_n150_d4_lr005_b0.5,ensemble,0.0352,0.0185,0.7524,0.0398
gbt_n100_d2_lr003,gbt,0.0332,0.0139,0.75,0.0404
ens_ra5.0_n200_d3_lr01_b0.6,ensemble,0.041,0.0102,0.7524,0.0371
gbt_n300_d3_lr001,gbt,0.0378,0.0089,0.75,0.0437
gbt_n150_d3_lr001,gbt,0.033,0.0178,0.75,0.0483
ens_ra1.0_n150_d4_lr005_b0.5,ensemble,0.0393,0.0191,0.7524,0.0271
ens_ra10.0_n150_d4_lr005_b0.5,ensemble,0.0357,0.0176,0.75,0.0279
ens_ra5.0_n100_d3_lr005_b0.7,ensemble,0.0367,0.0154,0.7476,0.01
gbt_n50_d2_lr01,gbt,0.0364,0.0086,0.7452,0.0509
gbt_n100_d2_lr005,gbt,0.0363,0.0088,0.7452,0.0274
ens_ra1.0_n100_d3_lr005_b0.7,ensemble,0.0395,0.0188,0.7476,0.0196
ens_ra10.0_n200_d3_lr01_b0.6,ensemble,0.0412,0.01,0.7452,0.0409
gbt_n150_d4_lr001,gbt,0.0332,0.0175,0.7405,0.0573
ens_ra10.0_n100_d3_lr005_b0.7,ensemble,0.0401,0.0188,0.7429,0.016
gbt_n200_d2_lr003,gbt,0.0405,0.0131,0.7405,0.0528
gbt_n200_d2_lr005,gbt,0.0429,0.0135,0.7381,0.0539
gbt_n150_d2_lr005,gbt,0.0438,0.0123,0.7381,0.0483
ens_ra1.0_n200_d3_lr01_b0.6,ensemble,0.0452,0.0106,0.7381,0.0395
gbt_n300_d2_lr003,gbt,0.0439,0.0128,0.7357,0.0472
gbt_n50_d4_lr003,gbt,0.0359,0.0135,0.731,0.0707
ens_ra5.0_n150_d4_lr005_b0.6,ensemble,0.036,0.0182,0.731,0.0322
gbt_n200_d4_lr001,gbt,0.0364,0.0137,0.7286,0.0649
ens_ra10.0_n150_d4_lr005_b0.6,ensemble,0.039,0.0189,0.731,0.0332
ens_ra1.0_n150_d4_lr005_b0.6,ensemble,0.0397,0.0193,0.731,0.0299
gbt_n50_d3_lr005,gbt,0.0408,0.0141,0.7286,0.0424
gbt_n300_d2_lr005,gbt,0.0484,0.0188,0.7333,0.0616
gbt_n100_d3_lr003,gbt,0.0384,0.0086,0.7238,0.0371
ens_ra5.0_n200_d3_lr01_b0.7,ensemble,0.0453,0.01,0.7214,0.0465
gbt_n100_d2_lr01,gbt,0.0451,0.0121,0.7214,0.0458
gbt_n300_d4_lr001,gbt,0.0402,0.0109,0.7167,0.0528
gbt_n150_d3_lr003,gbt,0.0415,0.0091,0.7167,0.0284
ens_ra10.0_n200_d3_lr01_b0.7,ensemble,0.0487,0.014,0.7167,0.0479
ens_ra1.0_n200_d3_lr01_b0.7,ensemble,0.0489,0.0124,0.7143,0.0552
ens_ra5.0_n150_d4_lr005_b0.7,ensemble,0.0491,0.0165,0.7095,0.0434
gbt_n100_d3_lr005,gbt,0.0476,0.0187,0.7072,0.0247
ens_ra10.0_n150_d4_lr005_b0.7,ensemble,0.0493,0.0165,0.7048,0.0494
ens_ra1.0_n150_d4_lr005_b0.7,ensemble,0.049,0.0172,0.7024,0.0437
gbt_n50_d3_lr01,gbt,0.0508,0.0193,0.7024,0.0684
gbt_n200_d3_lr003,gbt,0.0472,0.0116,0.6976,0.0417
gbt_n150_d3_lr005,gbt,0.0507,0.021,0.7,0.0416
gbt_n150_d2_lr01,gbt,0.0461,0.0108,0.6929,0.0515
gbt_n100_d4_lr003,gbt,0.051,0.0137,0.6952,0.0827
gbt_n50_d4_lr005,gbt,0.0486,0.0177,0.6905,0.0704
gbt_n200_d2_lr01,gbt,0.0613,0.0133,0.6809,0.066
gbt_n100_d3_lr01,gbt,0.0531,0.021,0.6762,0.0916
gbt_n200_d3_lr005,gbt,0.0552,0.0181,0.6762,0.0555
gbt_n300_d2_lr01,gbt,0.0566,0.0156,0.6738,0.0575
gbt_n150_d4_lr003,gbt,0.0561,0.019,0.669,0.0809
gbt_n300_d3_lr003,gbt,0.0589,0.0237,0.6714,0.055
gbt_n150_d3_lr01,gbt,0.0555,0.0246,0.6595,0.0966
gbt_n100_d4_lr005,gbt,0.0533,0.0164,0.6548,0.0624
gbt_n50_d4_lr01,gbt,0.0558,0.0188,0.6548,0.1071
gbt_n300_d3_lr005,gbt,0.0565,0.0176,0.6547,0.0776
gbt_n300_d3_lr01,gbt,0.0539,0.0247,0.6405,0.0827
gbt_n200_d3_lr01,gbt,0.0593,0.0249,0.6381,0.0877
gbt_n150_d4_lr01,gbt,0.0664,0.0169,0.6333,0.0805
gbt_n100_d4_lr01,gbt,0.0622,0.0162,0.6286,0.0856
gbt_n300_d4_lr003,gbt,0.0631,0.0179,0.6286,0.1059
gbt_n200_d4_lr01,gbt,0.0619,0.0132,0.6238,0.094
gbt_n200_d4_lr003,gbt,0.062,0.0171,0.6238,0.0977
gbt_n150_d4_lr005,gbt,0.0639,0.0249,0.6214,0.0965
gbt_n300_d4_lr01,gbt,0.0635,0.0154,0.6095,0.1059
